Name,Category,Integration,Description,Url,Selectable with
cpm,ad-insights-account,facebook-ads,"The average cost for 1,000 impressions.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cpm,
cpp,ad-insights-account,facebook-ads,"The average cost to reach 1,000 people. This metric is estimated.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cpp,
clicks,ad-insights-account,facebook-ads,The number of clicks on your ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#clicks,
cpc,ad-insights-account,facebook-ads,The average cost for each click (all).,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cpc,
ctr,ad-insights-account,facebook-ads,The percentage of times people saw your ad and performed a click (all).,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#ctr,
frequency,ad-insights-account,facebook-ads,The average number of times each person saw your ad. This metric is estimated.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#frequency,
impressions,ad-insights-account,facebook-ads,"The number of times your ads were on screen.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#impressions,
full_view_impressions,ad-insights-account,facebook-ads,The number of Full Views on your Page's posts as a result of your ad.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#full_view_impressions,
mobile_app_purchase_roas,ad-insights-account,facebook-ads,The total return on ad spend (ROAS) from mobile app purchases. This is based on the value that you assigned when you set up the app event.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#mobile_app_purchase_roas,
reach,ad-insights-account,facebook-ads,"The number of people who saw your ads at least once. Reach is different from impressions, which may include multiple views of your ads by the same people. This metric is estimated.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#reach,
full_view_reach,ad-insights-account,facebook-ads,The number of people who performed a Full View on your Page's post as a result of your ad.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#full_view_reach,
optimization_goal,ad-insights-account,facebook-ads,The optimization goal you selected for your ad or ad set. Your optimization goal reflects what you want to optimize for the ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#optimization_goal,
spend,ad-insights-account,facebook-ads,"The estimated total amount of money you've spent on your campaign, ad set or ad during its schedule. This metric is estimated.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#spend,
canvas_avg_view_percent,ad-insights-account,facebook-ads,"The average percentage of the Instant Experience that people saw. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#canvas_avg_view_percent,
canvas_avg_view_time,ad-insights-account,facebook-ads,"The average total time, in seconds, that people spent viewing an Instant Experience. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#canvas_avg_view_time,
video_avg_time_watched_actions,ad-insights-account,facebook-ads,"The average time a video was played, including any time spent replaying the video for a single impression.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_avg_time_watched_actions,
video_p100_watched_actions,ad-insights-account,facebook-ads,"The number of times your video was played at 100% of its length, including plays that skipped to this point.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_p100_watched_actions,
video_p25_watched_actions,ad-insights-account,facebook-ads,"The number of times your video was played at 25% of its length, including plays that skipped to this point.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_p25_watched_actions,
video_p50_watched_actions,ad-insights-account,facebook-ads,"The number of times your video was played at 50% of its length, including plays that skipped to this point.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_p50_watched_actions,
video_p75_watched_actions,ad-insights-account,facebook-ads,"The number of times your video was played at 75% of its length, including plays that skipped to this point.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_p75_watched_actions,
video_p95_watched_actions,ad-insights-account,facebook-ads,"The number of times your video was played at 95% of its length, including plays that skipped to this point.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_p95_watched_actions,
video_play_actions,ad-insights-account,facebook-ads,"The number of times your video starts to play. This is counted for each impression of a video, and excludes replays. This metric is in development.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_play_actions,
video_thruplay_watched_actions,ad-insights-account,facebook-ads,,,
video_play_curve_actions,ad-insights-account,facebook-ads,"A video-play based curve graph that illustrates the percentage of video plays that reached a given second. Entries 0 to 14 represent seconds 0 thru 14. Entries 15 to 17 represent second ranges [15 to 20), [20 to 25), and [25 to 30). Entries 18 to 20 represent second ranges [30 to 40), [40 to 50), and [50 to 60). Entry 21 represents plays over 60 seconds.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_play_curve_actions,
videoTotalTimeWatched,ad-insights-account,facebook-ads,,,
cost_per_thruplay,ad-insights-account,facebook-ads,The average cost for each ThruPlay. This metric is in development.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_thruplay,
instant_experience_clicks_to_open,ad-insights-account,facebook-ads,instant_experience_clicks_to_open,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#instant_experience_clicks_to_open,
instant_experience_clicks_to_start,ad-insights-account,facebook-ads,instant_experience_clicks_to_start,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#instant_experience_clicks_to_start,
instant_experience_outbound_clicks,ad-insights-account,facebook-ads,instant_experience_outbound_clicks,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#instant_experience_outbound_clicks,
ctrLink,ad-insights-account,facebook-ads,,,
uniqueLinkClicksCtr,ad-insights-account,facebook-ads,,,
unique_clicks,ad-insights-account,facebook-ads,,,
uniqueCtr,ad-insights-account,facebook-ads,,,
cost_per_unique_click,ad-insights-account,facebook-ads,The average cost for each unique click (all). This metric is estimated.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_unique_click,
costPerUniqueClick,ad-insights-account,facebook-ads,,,
estimated_ad_recall_rate,ad-insights-account,facebook-ads,,,
estimated_ad_recallers,ad-insights-account,facebook-ads,,,
estimatedAdRecallRate,ad-insights-account,facebook-ads,,,
cost_per_estimated_ad_recallers,ad-insights-account,facebook-ads,,,
costPerEstimatedAdRecallers,ad-insights-account,facebook-ads,,,
catalogSegmentValuePurchaseRoas,ad-insights-account,facebook-ads,,,
account_id,ad-insights-account,facebook-ads,Ad account ID for the account this ad creative belongs to.,https://developers.facebook.com/docs/reference/ads-api/adcreative#account_id,
account_name,ad-insights-account,facebook-ads,"The name of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#account_name,
ad_id,ad-insights-account,facebook-ads,"The unique ID of the ad you're viewing in reporting.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#ad_id,
ad_name,ad-insights-account,facebook-ads,The name of the ad you're viewing in reporting.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#ad_name,
